"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: January 1, 2015 to June 7, 2015, retrieved on June 8, 2015"
" (158 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 93% of requested data were available from station POMONA.A.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation          147            0            0           11            0        "
"                     POMONA.A     CLARMONT.A   none         POMONA.A     "
"Air Temps, max/min     147            0            0           11            0        "
"                     POMONA.A     CLARMONT.A   none         POMONA.A     "
"Soil Temps, max/min    147            0            0           11            0        "
"                     POMONA.A     CLARMONT.A   none         CLARMONT.A   "
"Rel. Humidity          146            0            0            0           12        "
"                     POMONA.A     none         none         none         "
"ETo                    147            0            0            0           11        "
"                     POMONA.A     none         none         none         "
"Solar Radiation        145            0            0           13            0        "
"                     POMONA.A     CLARMONT.A   none         POMONA.A     "
"Wind Speed & Dir       147            0            0            0           11        "
"                     POMONA.A     none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Inches"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Fahrenheit"
"   7       Air temperature, minimum      Fahrenheit"
"   8       Air temperature, observed     Fahrenheit"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Miles per hour"
"  12       Bulb temperature, wet         Fahrenheit"
"  13       Bulb temperature, dry         Fahrenheit"
"  14       Soil temperature, maximum     Fahrenheit"
"  15       Soil temperature, minimum     Fahrenheit"
"  16       Pan evaporation               Inches"
"  17       Solar radiation               Langleys"
"  18       Reference evapotranspiration  Inches"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
POMONA.A,20150101,2359,0.00,,56,32,,,0,0,,,50,49,,290,0.06,87.0,32.0,
POMONA.A,20150102,2359,0.00,,59,31,,,0,0,,,49,48,,284,0.06,98.0,35.0,
POMONA.A,20150103,2359,0.00,,63,37,,,0,0,,,49,48,,275,0.06,95.0,38.0,
POMONA.A,20150104,2359,0.00,,72,38,,,0,0,,,50,48,,278,0.06,92.0,22.0,
POMONA.A,20150105,2359,0.00,,83,40,,,0,0,,,51,49,,285,0.09,69.0,17.0,
POMONA.A,20150106,2359,0.00,,85,49,,,0,0,,,52,50,,297,0.09,53.0,13.0,
POMONA.A,20150107,2359,0.00,,82,45,,,0,0,,,53,51,,258,0.07,80.0,18.0,
POMONA.A,20150108,2359,0.00,,73,44,,,0,0,,,53,51,,263,0.07,84.0,33.0,
POMONA.A,20150109,2359,0.00,,70,45,,,0,0,,,54,53,,165,0.04,94.0,40.0,
POMONA.A,20150110,2359,0.16,,63,44,,,0,0,,,54,53,,119,0.02,100.0,60.0,
POMONA.A,20150111,2359,0.70,,58,48,,,0,0,,,55,54,,74,0.00,100.0,98.0,
POMONA.A,20150112,2359,0.01,,64,48,,,0,0,,,55,54,,221,0.04,100.0,76.0,
POMONA.A,20150113,2359,0.00,,68,47,,,0,0,,,56,55,,273,0.06,100.0,50.0,
POMONA.A,20150114,2359,0.00,,71,41,,,0,0,,,56,54,,304,0.08,96.0,29.0,
POMONA.A,20150115,2359,0.00,,75,43,,,0,0,,,55,53,,315,0.08,84.0,22.0,
POMONA.A,20150116,2359,0.00,,77,46,,,0,0,,,54,53,,301,0.08,82.0,19.0,
POMONA.A,20150117,2359,0.00,,80,44,,,0,0,,,54,53,,310,0.09,84.0,20.0,
POMONA.A,20150118,2359,0.00,,76,46,,,0,0,,,55,53,,265,0.08,89.0,29.0,
POMONA.A,20150119,2359,0.00,,74,47,,,0,0,,,55,53,,295,0.08,99.0,38.0,
POMONA.A,20150120,2359,0.00,,62,43,,,0,0,,,55,53,,176,0.03,100.0,72.0,
POMONA.A,20150121,2359,0.00,,72,46,,,0,0,,,56,54,,294,0.07,95.0,40.0,
POMONA.A,20150122,2359,0.00,,75,39,,,0,0,,,55,53,,254,0.08,73.0,15.0,
POMONA.A,20150123,2359,0.00,,74,42,,,0,0,,,54,53,,329,0.09,59.0,14.0,
POMONA.A,20150124,2359,0.00,,82,42,,,0,0,,,54,52,,333,0.11,60.0,13.0,
POMONA.A,20150125,2359,0.00,,79,43,,,0,0,,,54,53,,278,0.10,61.0,20.0,
POMONA.A,20150126,2359,0.19,,78,54,,,0,0,,,55,54,,182,0.07,100.0,22.0,
POMONA.A,20150127,2359,0.00,,73,51,,,0,0,,,56,55,,311,0.08,100.0,41.0,
POMONA.A,20150128,2359,0.00,,74,51,,,0,0,,,56,55,,229,0.07,90.0,31.0,
POMONA.A,20150129,2359,0.00,,76,54,,,0,0,,,57,56,,211,0.07,80.0,29.0,
