"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: January 1, 1989 to June 16, 2015, retrieved on June 17, 2015"
" (9663 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 95% of requested data were available from station POMONA.A.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation         9150          302            0          211            0        "
"                     POMONA.A     CLARMONT.A   none         POMONA.A     "
"Air Temps, max/min    9119          339            0          205            0        "
"                     POMONA.A     CLARMONT.A   none         POMONA.A     "
"Soil Temps, max/min   8870          477            0          316            0        "
"                     POMONA.A     CLARMONT.A   none         CLARMONT.A   "
"Rel. Humidity         9166            0            0            0          497        "
"                     POMONA.A     none         none         none         "
"ETo                   9117            0            0            0          546        "
"                     POMONA.A     none         none         none         "
"Solar Radiation       9260          242            0          161            0        "
"                     POMONA.A     CLARMONT.A   none         POMONA.A     "
"Wind Speed & Dir      9255            0            0            0          408        "
"                     POMONA.A     none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Inches"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Fahrenheit"
"   7       Air temperature, minimum      Fahrenheit"
"   8       Air temperature, observed     Fahrenheit"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Miles per hour"
"  12       Bulb temperature, wet         Fahrenheit"
"  13       Bulb temperature, dry         Fahrenheit"
"  14       Soil temperature, maximum     Fahrenheit"
"  15       Soil temperature, minimum     Fahrenheit"
"  16       Pan evaporation               Inches"
"  17       Solar radiation               Langleys"
"  18       Reference evapotranspiration  Inches"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","Air min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min",
POMONA.A,19890101,2359,0.01,,68,42,,,,,,,53,51,,226,,,,
POMONA.A,19890102,2359,0.13,,66,43,,,,,,,53,52,,192,,,,
POMONA.A,19890103,2359,0.14,,65,42,,,,,,,53,52,,206,,,,
POMONA.A,19890104,2359,0.32,,66,41,,,,,,,54,51,,222,,,,
POMONA.A,19890105,2359,0.16,,68,42,,,,,,,54,51,,234,,,,
POMONA.A,19890106,2359,0.24,,68,42,,,,,,,54,51,,251,,,,
POMONA.A,19890107,2359,0.25,,68,43,,,,,,,54,51,,225,,,,
POMONA.A,19890108,2359,0.13,,68,43,,,,,,,54,51,,222,,,,
POMONA.A,19890109,2359,0.31,,67,44,,,,,,,53,51,,223,,,,
POMONA.A,19890110,2359,0.32,,68,44,,,,,,,54,51,,227,,,,
POMONA.A,19890111,2359,0.12,,69,43,,,,,,,53,51,,234,,,,
POMONA.A,19890112,2359,0.12,,67,42,,,,,,,53,51,,225,,,,
POMONA.A,19890113,2359,0.10,,69,43,,,,,,,53,51,,234,,,,
POMONA.A,19890114,2359,0.05,,69,42,,,,,,,54,51,,253,,,,
POMONA.A,19890115,2359,0.10,,68,43,,,,,,,53,51,,233,,,,
POMONA.A,19890116,2359,0.10,,67,42,,,,,,,53,51,,245,,,,
POMONA.A,19890117,2359,0.06,,69,42,,,,,,,53,51,,270,,,,
POMONA.A,19890118,2359,0.16,,68,42,,,,,,,54,51,,253,,,,
POMONA.A,19890119,2359,0.06,,67,42,,,,,,,53,51,,250,,,,
POMONA.A,19890120,2359,0.11,,67,42,,,,,,,54,51,,261,,,,
POMONA.A,19890121,2359,0.12,,67,42,,,,,,,54,51,,248,,,,
POMONA.A,19890122,2359,0.05,,68,42,,,,,,,54,52,,267,,,,
POMONA.A,19890123,2359,0.11,,69,43,,,,,,,54,51,,264,,,,
POMONA.A,19890124,2359,0.10,,68,43,,,,,,,54,51,,257,,,,
POMONA.A,19890125,2359,0.13,,66,44,,,,,,,54,52,,232,,,,
POMONA.A,19890126,2359,0.15,,65,43,,,,,,,53,52,,261,,,,
POMONA.A,19890127,2359,0.10,,65,42,,,,,,,53,51,,273,,,,
POMONA.A,19890128,2359,0.04,,65,41,,,,,,,53,51,,261,,,,
POMONA.A,19890129,2359,0.03,,67,41,,,,,,,53,51,,283,,,,
